Company,Job Title,Description,Time Posted,Location,image_url
Kidea,copywriter,siamo alla ricerca di un copy da inserire nel nostro reparto creativo,5 hours ago,"Naples, Italy",https://mir-s3-cdn-cf.behance.net/24633cfd0e7f84e5791dfde71e9cb523/2f9545f3-9781-4dd4-8c50-042275b3903a_acc_180x180.png?h=1098bad5cfe8bc48f4b2a5eda3be58f2
"O2, INC",UI/UX Designer,We are looking for a talented UI/UX Designer to join our team,8 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/1362a8ba37454a3285588736d8b86706/cd7fbadb-b815-4768-bf5c-1da205368f0a_acc_180x180.jpg?h=b87578579c0d2a94b2eff1b36ea9beef
Scienseed,Video editor,"Currently, we are looking for a Video Editor to strengthen our creative team",3 days ago,"Madrid, Spain",https://mir-s3-cdn-cf.behance.net/ec8f4cd722f29ab5e59958dc35107752/c7dfa6a6-31fa-4053-8168-353ebcd07efc_acc_180x180.png?h=acb4c43c783a6ffe666512ca033bce65
Tessarakt Experiential,Motion Graphic Designer,Join Tessarakt as an Motion Designer and bring stories to life with stunning visuals!,3 days ago,India,https://mir-s3-cdn-cf.behance.net/c7dd3aabfd05784e07bd1983860f84e2/3f2ebef7-6931-441e-bf59-8b0f4aa5c6d7_acc_180x180.jpg?h=772c583777a5d6baf9b107edbb7ff593
Tessarakt Experiential,Graphic Designer,"Join Tessarakt as an Onsite Graphic Designer and craft stunning, unforgettable visuals!",3 days ago,India,https://mir-s3-cdn-cf.behance.net/86f97212a88d236fe79a035493fd07da/86780f6f-c115-453a-aa47-819454bc84ad_acc_180x180.jpg?h=4d177452d27a1829ae1f359e94531045
AX Creative Agency,Hype Video Editor,Looking for an experience and diverse video editor,3 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/fbe02c7dd15f6119f5946978932e74b1/f9e4c4d9-3254-4504-9252-c96cf0d8ddc7_acc_180x180.jpg?h=6fea730feaf35f26ec876eb82979f600
Wunderfauks,100% Remote - Full Time Creative Designer - APAC Region,Looking For - 100% Remote - Full Time Creative Designer - APAC Region,4 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/f1f0f85e762a6668843acd2668838992/7620b9a1-cc2b-4a80-96da-ff0ceec1e01d_acc_180x180.png?h=b60bc83fe991dab5e51e514aca03d6ad
stellenmanufaktur,Webdesigner und Webprogrammierer gesucht (m/w/d),"Wir sind ein aufstrebendes Unternehmen, das marketingorientierte Internetlösungen in ...",4 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/564ef7416ab9bd3ca5c232708aa015fe/200c4147-eda4-4325-a38b-9fd82a5609d0_acc_180x180.png?h=50a0d22e3a559b7804f02c5ce344d0af
stellenmanufaktur,Web Developer gesucht (m/w/d),"Jede geniale Idee braucht jemanden, der sie umsetzt.",4 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/5d4599ecc8111f54a3e7bb4ead9c209d/a0af48d7-9338-46bc-a0d0-7994c0d30460_acc_180x180.png?h=ad1333f90a1fb90a59192fd9588bcc82
Ekaha,Graphic Designer,We are looking for Graphic Designer proficient in Canva & Adobe,4 days ago,"Ahmedabad, India",https://mir-s3-cdn-cf.behance.net/d9dc4203687b590c811d4ffa249b34fd/71239259-a049-4731-8e23-044cb370c5cc_acc_180x180.png?h=83a6df353e787cde5631028d01242dec
RIV Technologies,Video Editor,A Video Editor for Social Media,5 days ago,"Dubai, United Arab Emirates",https://mir-s3-cdn-cf.behance.net/e02d140731aa3c4062b311d2062e136b/39665f5b-b6b6-445a-b6d9-77f63a0130ee_acc_180x180.png?h=d85beb81b846f8e24cf9b83d6e65122d
The Night League,Creative Lead,"We are looking for a Creative Lead to be based in Ibiza (Full-Time, On-Site)",5 days ago,Spain,https://mir-s3-cdn-cf.behance.net/3fb689499a8fa8c6839c7761ea657555/dcf926f3-c319-4ee7-b7d2-bd9932d586a7_acc_180x180.jpg?h=d1c6bd9d247fd1c2af62e69090a93565
Mar-e,Social Media Designer,Social Media Designer - Join the Mar-e Creative Team.,5 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/1710b2e0f3357d691da9daf56189b2a2/eea57a58-7431-402f-ae00-a7a7bf5e039d_acc_180x180.png?h=52359d6ed83632736c224eaf7dcc293c
Adrex Creative LLP,Creative Director,"Seeking a Creative Director to drive bold ideas, lead teams, and shape campaigns!",5 days ago,India,https://mir-s3-cdn-cf.behance.net/5a96f406f55d7f18698f69e3e8cd79bc/a80d95d3-8329-400d-a0d2-33cd6c1a1a79_acc_180x180.png?h=8fc0d579a56533e392d6e527e9973066
Creativ Medium,"TouchDesigner Expert (Remote, Project-Based, Consultant Position)","TouchDesigner Expert (Remote, Project-Based, Consultant Position)",5 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/8de9ba5b2144c7b1f8b2b77d1c2d9c37/89e51744-f50e-44e7-858a-12da60c0798e_acc_180x180.png?h=6d8758e495cfe179e39b0f254e8d798b
Yarin Bureau,Дизайнер интерьеров,Ищем дизайнера коммерческих интерьеров,5 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/e9d3617ff3039c9b5cc7f4a06dae5d6b/0cd6f984-d3a6-459d-8fd8-60bb630df28d_acc_180x180.png?h=58c6c6cc0911cd0724447860ff103324
Purdue Polytechnic Institute,Assistant Professor of Practice in UX Design,We are looking for an Assistant Professor of Practice in UX Design.,5 days ago,"West Lafayette, IN, USA",https://mir-s3-cdn-cf.behance.net/d6086155ea54f1f42fdee523053a3a7f/08bffb2d-0a50-4ee7-a582-5b487367e557_acc_180x180.jpg?h=dc5fe7f1b97ca505da96a54a62953319
Young Goose,Graphic Designer & Shopify Website Developer,Seeking a graphic designer skilled in Shopify and website development,5 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/5b81566aed0b343cda6430d03c3bdd3c/bec2426b-527a-4921-aa15-23610464f0dc_acc_180x180.jpg?h=54cc6a9177576f68397a64c66852c0b9
AX Creative,Senior Graphic Designer,We are looking for a Graphic Designer with high quality work to work with us,6 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/57773ce8a8079c6613e1504787408653/49259778-c3ef-4fdf-a6f7-755dcdba1aa3_acc_180x180.png?h=c1cdf18dff427a2dfd6b527444b6fb75
Space & Place,مصمم جرافيك,مصمم جرافيك,6 days ago,"Aleppo, Syrian Arab Republic",https://mir-s3-cdn-cf.behance.net/c50a6a071129217f9f47955f7ad64d0a/9b102e32-fcef-4006-baf1-d4ddb5e2c6cd_acc_180x180.jpg?h=31ccde32f43b75af44312b8625df7176
Blueberry Media,Graphic Designer,Looking for a Graphic Designer for Social Media,6 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
BrainBook,Creative Director - 100% Remote/ Home-Office,Join BrainBook as a Creative Director and lead innovative design projects,6 days ago,Germany,https://mir-s3-cdn-cf.behance.net/1e2b7e76ecd2b8aaeda08b48611d74f5/90d29e9b-6fc7-4a37-9c5c-9ee093320b46_acc_180x180.png?h=eaf333db8e1daa4bf607779daf729a46
ALLEGORY,"Branding, Graphic Design, Illustration","Seeking a creative for branding, graphic designer, and sometimes, an illustrator.",7 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/b8684a9706a7e08f1fc6e32672ae932d/a66b6df1-52dc-4b08-bafa-90a4ccf1acd2_acc_180x180.jpg?h=35ced4114474050a81741dddd927fe97
AQOMI,Creative Illustrator & Cartoon Artist,🚀 Calling All Creative Wizards of the Comic Multiverse! 🎨✨,7 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/6ae1a8f3b6d5df63d550954258957207/eda24c86-def8-44df-b125-e8a4c91bbaca_acc_180x180.jpg?h=9f59f6ca68b527b634333e550449c2f1
K1 Speed México,Diseñador Gráfico,Diseñador Gráfico - K1 Speed México: Crea visuales impactantes y acelera tu creatividad.,7 days ago,"Mexico City, Mexico",https://mir-s3-cdn-cf.behance.net/0c1ea7ad84aef89702715c467b044584/f87971fb-c794-404d-83b9-ddb07f3e14fa_acc_180x180.png?h=ee07e30604a0c2b0c8e5b66407f985a1
Atwrap Design and Floral Studio,Graphic Designer,A graphic designer in Abu Dhabi,7 days ago,"Abu Dhabi, United Arab Emirates",https://mir-s3-cdn-cf.behance.net/7c71cf6a465ff3712aa45ffe14605d24/7d934bd3-1e4c-43b0-97bd-c623e8d35b99_acc_180x180.png?h=9a3401761264967acaa2651db23c3aeb
STENUM Asia,Motion Graphics Designer,A talented Motion Graphic Designer required for 6 months,7 days ago,India,https://mir-s3-cdn-cf.behance.net/7de6f831d2133ac9781376bd1f082ead/3606d862-e342-442e-8cf8-496b6960f789_acc_180x180.png?h=23307a49229a39bbb0039dd315934464
Identity Makers,Logo Designer,We are looking for a Professional Logo and Packaging designer,7 days ago,"Udaipur, India",https://mir-s3-cdn-cf.behance.net/51517fe3b3804e5b048443add00a1815/5683a1d8-9edf-444d-9adc-aa3184bf134e_acc_180x180.jpg?h=5adc5307aadd4d5bc2db2ed12104799f
Luck & Co,Email Designer at Luck & Co,"Looking for an EMAIL designer. Fully remote. Start part-time, going into full-time.",9 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/abced5a34d838ee72db3eac79390e3d1/f1fffef6-f4fb-45cb-a1b5-6d9bdbdfcf4d_acc_180x180.png?h=1083cea20625d646b93a0d380ce97a8f
VDP Design International Ltd.,Full-time Senior Archviz Talent,VDP is searching for remote 3D Visualization Super Stars!,10 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/e59c45244ea0c13c246d718c26b8403c/f7b99f94-9589-4476-94b2-b3bd5eaf6ae1_acc_180x180.png?h=0d7059de82d8bf5d10aaf4ec83db82ec
Bravo Creative,Creative Designer,Looking for Brave Creative Designer,10 days ago,Singapore,https://mir-s3-cdn-cf.behance.net/75af319f46c84e641a63141b00935dac/febbb439-a884-4f90-8cfb-84dbde803932_acc_180x180.png?h=d03d712145221c4679ebaa9948ef6b47
GC + SOHO,Marketing Graphics and Product Image Designer II,Ecom team seeks HYBRID (4 in office/1 WFH) Digital Mktg Designer + Product Photo editor),11 days ago,"Dallas, TX, USA",https://mir-s3-cdn-cf.behance.net/a90475c1eb60311f93b7cf665332a8e3/aa0eb795-0280-4a96-8b59-9bf784b2159a_acc_180x180.png?h=eb2d4fb8a9863532e42f00c9f47db95b
Zest Dental Solutions,Multi-Media Digital Designer,Looking for a creative generalist [Hybrid Role - Remote Possible for Top Talent],11 days ago,"Carlsbad, CA, USA",https://mir-s3-cdn-cf.behance.net/238343a3e5e4540c2579c9d2423fc973/3a7c3233-ada5-41a9-9ebf-f515fc0a0474_acc_180x180.png?h=22f263df3cbfeb7b0a5cf86742b09eb1
Atlanta Magazine Custom Media,Art Director,Seeking mid-level Art Director for our custom media division.,12 days ago,"North Atlanta, GA, USA",https://mir-s3-cdn-cf.behance.net/b0b871d57a91d60376545b4fb19c4077/f4fef9d5-1ade-4d6f-bfc0-8c531d0472ab_acc_180x180.png?h=fd6ace6d933abb6439bc64e080d1d422
Niceone,Senior Graphic Designer,We are looking for a creative designer.,12 days ago,Saudi Arabia,https://mir-s3-cdn-cf.behance.net/4dfe40074d31291407eb3701f23acd0e/a258ab46-f018-424d-b5e4-d1c731751d69_acc_180x180.png?h=dc9f73ba94109eb98fca2c7b77e66105
EXELA PUBLISHING HOUSE,GRAPHIC DESIGNER,WE ARE LOOKING FOR GRAPHIC DESIGNER.,12 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/268fe6d9f66c54cf4694d775d5943fa4/4c9d3245-5436-4174-8de8-d9440497fb79_acc_180x180.jpg?h=58efd4dc8cac907e364b3529a1afb25e
Divo Ceramica,Graphic Designer,Divo Ceramica are looking for a creativity graphic designer in the ceramic tile.,12 days ago,"Ho Chi Minh City, Vietnam",https://mir-s3-cdn-cf.behance.net/a93ece48c94b0c713bc6514a6af24b9b/3cc24a53-1761-4e85-959f-99866873a97e_acc_180x180.jpg?h=e827cd13b3ed2e14c1bd5b4958bcd75c
Soriana,"Gerente de Diseño de Moda, ropa femenina e infantiles.","En búsqueda de Gerente de Diseño de Moda, ropa femenina e infantiles.",12 days ago,"Monterrey, Mexico",https://mir-s3-cdn-cf.behance.net/9a08f7189863cc7f9007b02fc70f7755/0162b92f-1336-436b-9229-50deb5e7f611_acc_180x180.png?h=07cff793d07ed11cc5defd964db1ba45
Witecom - Consultoria e Novos Media,"Estágio Profissional +Talento, Nível VI (Licenciatura)","Designer Gráfico, de Comunicação e Multimédia (m/f)",12 days ago,Portugal,https://mir-s3-cdn-cf.behance.net/b7f115c2210260e93cd2deb00d249f22/584b82f4-4a52-49ed-804d-b4fc5027ff0f_acc_180x180.png?h=a2b489ba9e3a63bc6c9ca29c0ef01f01
Four & More,Grafik- & Webdesigner,Wir suchen ab sofort eine/n begeisterten Mediendesigner (m/w/d),13 days ago,Germany,https://mir-s3-cdn-cf.behance.net/c5df416428998e98b27f3e7546a5de1d/e37a52b2-0086-437d-8004-62725eb65979_acc_180x180.png?h=a4cd0cb0cfcbb1977c7cba8b1e26600e
Publicis Sapient,UX Designer Intern - Milan Based,UX Designer per stage curriculare,13 days ago,"Milano, Italy",https://mir-s3-cdn-cf.behance.net/146c8310be8f27c90f2b55d188e82066/937ba084-e142-441f-9f5e-c4b102be4c7a_acc_180x180.png?h=62ad80c5277e2ebb8aa9151a841148b1
Lucky Rabbit,Director de Arte senior - diseñador motion grapher,Director de arte motion graphic,14 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/c8e5f99989d7c01cf4f55f8da124a5db/26dac603-9093-4ff4-b12b-7817da1221d5_acc_180x180.png?h=3f4261e41bfc1de8086049164d9e856e
INBOX Agency,Graphic Designer,(3 years of experience in social media designs and branding),14 days ago,"Mahalla al Kubra, Egypt",https://mir-s3-cdn-cf.behance.net/c5a2405c7800bb0f0b71505854b7a245/240f4361-89af-43ad-a25b-b2b919c3dfc2_acc_180x180.png?h=eb12df68f4544e3017e7bb9ac1e9b1c2
Stackit Digital,Multi-Talented Designer and Animator for Website and Brand Design,We're looking for a multi-talented designer and animator for website and brand design,14 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/164a6d656a4b50454c8a14b87a7a61c6/36ef4106-39e4-407d-9f6b-24cdf69d3430_acc_180x180.png?h=0d6112ea9dca2bed2670c51a5ee3bae0
